Age,Gender,Average Weight (Kg),Average Height (cm),Level of Activity,bmr,Recommended Calorie ,Recommended Total Carbohydrate(g),Recommended Carbohydrate (g),Recommended Calorie ,Recommended Total Carbohydrate(g),Meal Type,Recommended Carbohydrate (g),Menu No,Serving Size
2,1,12.02,85.5,1,483.575,664.915625,74.80300781,22.44090234,820 ,108,1,22.4409023438,1,0.7
2,1,12.02,85.5,1,483.575,664.915625,74.80300781,22.44090234,820 ,108,1,22.4409023438,2,0.7
2,1,12.02,85.5,1,483.575,664.915625,74.80300781,22.44090234,820 ,108,1,22.4409023438,3,0.9
2,1,12.02,85.5,1,483.575,664.915625,74.80300781,22.44090234,820 ,108,1,22.4409023438,4,0.6
2,1,12.02,85.5,1,483.575,664.915625,74.80300781,22.44090234,820 ,108,1,22.4409023438,5,0.5
2,1,12.02,85.5,1,483.575,664.915625,74.80300781,22.44090234,820 ,108,1,22.4409023438,6,0.9
2,1,12.02,85.5,1,483.575,664.915625,74.80300781,22.44090234,820 ,108,1,22.4409023438,7,0.7
2,2,12.47,86.8,1,662.2,910.525,102.4340625,30.73021875,1137 ,149,1,30.7302187500,1,1.0
2,2,12.47,86.8,1,662.2,910.525,102.4340625,30.73021875,1137 ,149,1,30.7302187500,2,1.0
2,2,12.47,86.8,1,662.2,910.525,102.4340625,30.73021875,1137 ,149,1,30.7302187500,3,1.2
2,2,12.47,86.8,1,662.2,910.525,102.4340625,30.73021875,1137 ,149,1,30.7302187500,4,0.8
2,2,12.47,86.8,1,662.2,910.525,102.4340625,30.73021875,1137 ,149,1,30.7302187500,5,0.7
2,2,12.47,86.8,1,662.2,910.525,102.4340625,30.73021875,1137 ,149,1,30.7302187500,6,1.2
2,2,12.47,86.8,1,662.2,910.525,102.4340625,30.73021875,1137 ,149,1,30.7302187500,7,1.0
2,1,12.02,85.5,2,483.575,749.54125,84.32339063,25.29701719,925,122,1,25.2970171875,1,0.8
2,1,12.02,85.5,2,483.575,749.54125,84.32339063,25.29701719,925,122,1,25.2970171875,2,0.8
2,1,12.02,85.5,2,483.575,749.54125,84.32339063,25.29701719,925,122,1,25.2970171875,3,1.0
2,1,12.02,85.5,2,483.575,749.54125,84.32339063,25.29701719,925,122,1,25.2970171875,4,0.7
2,1,12.02,85.5,2,483.575,749.54125,84.32339063,25.29701719,925,122,1,25.2970171875,5,0.6
2,1,12.02,85.5,2,483.575,749.54125,84.32339063,25.29701719,925,122,1,25.2970171875,6,1.0
2,1,12.02,85.5,2,483.575,749.54125,84.32339063,25.29701719,925,122,1,25.2970171875,7,0.8
2,2,12.47,86.8,2,662.2,1026.41,115.471125,34.6413375,1283 ,168,1,34.6413375000,1,1.2
2,2,12.47,86.8,2,662.2,1026.41,115.471125,34.6413375,1283 ,168,1,34.6413375000,2,1.1
2,2,12.47,86.8,2,662.2,1026.41,115.471125,34.6413375,1283 ,168,1,34.6413375000,3,1.3
2,2,12.47,86.8,2,662.2,1026.41,115.471125,34.6413375,1283 ,168,1,34.6413375000,4,0.9
2,2,12.47,86.8,2,662.2,1026.41,115.471125,34.6413375,1283 ,168,1,34.6413375000,5,0.8
2,2,12.47,86.8,2,662.2,1026.41,115.471125,34.6413375,1283 ,168,1,34.6413375000,6,1.4
2,2,12.47,86.8,2,662.2,1026.41,115.471125,34.6413375,1283 ,168,1,34.6413375000,7,1.2
2,1,12.02,85.5,3 ,483.575,834.166875,93.84377344,28.15313203,1057 ,139,1,28.1531320313,1,0.9
2,1,12.02,85.5,3 ,483.575,834.166875,93.84377344,28.15313203,1057 ,139,1,28.1531320313,2,0.9
2,1,12.02,85.5,3 ,483.575,834.166875,93.84377344,28.15313203,1057 ,139,1,28.1531320313,3,1.1
2,1,12.02,85.5,3 ,483.575,834.166875,93.84377344,28.15313203,1057 ,139,1,28.1531320313,4,0.7
2,1,12.02,85.5,3 ,483.575,834.166875,93.84377344,28.15313203,1057 ,139,1,28.1531320313,5,0.7
2,1,12.02,85.5,3 ,483.575,834.166875,93.84377344,28.15313203,1057 ,139,1,28.1531320313,6,1.1
2,1,12.02,85.5,3 ,483.575,834.166875,93.84377344,28.15313203,1057 ,139,1,28.1531320313,7,0.9
2,2,12.47,86.8,3 ,662.2,1142.295,128.5081875,38.55245625,1467 ,193,1,38.5524562500,1,1.3
2,2,12.47,86.8,3 ,662.2,1142.295,128.5081875,38.55245625,1467 ,193,1,38.5524562500,2,1.2
2,2,12.47,86.8,3 ,662.2,1142.295,128.5081875,38.55245625,1467 ,193,1,38.5524562500,3,1.5
