Gender,Age,Height,Weight in Kg,Weight in lb,Exercise type,No.of calories burnt per 30 minutes
Female,2,85.5,12.02,26.5,"bicycling, general",15
Female,2,85.5,12.02,26.5,"walking, for pleasure",9
Female,2,85.5,12.02,26.5,"jogging, general",15
Female,2,85.5,12.02,26.5,"running, 4 mph (15 min/mile)",12
Female,2,85.5,12.02,26.5,"swimming, general",15
Female,2,85.5,12.02,26.5,"rope skipping, general",27
Female,2,85.5,12.02,26.5,"badminton, general",12
Female,2,85.5,12.02,26.5,cricket,9
Female,2,85.5,12.02,26.5,tennis,15
Female,3,94,14.29,31.5,"bicycling, general",21
Female,3,94,14.29,31.5,"walking, for pleasure",9
Female,3,94,14.29,31.5,"jogging, general",21
Female,3,94,14.29,31.5,"running, 4 mph (15 min/mile)",18
Female,3,94,14.29,31.5,"swimming, general",39
Female,3,94,14.29,31.5,"rope skipping, general",36
Female,3,94,14.29,31.5,"badminton, general",15
Female,3,94,14.29,31.5,cricket,15
Female,3,94,14.29,31.5,tennis,21
Female,4,100.3,15.42,34,"bicycling, general",24
Female,4,100.3,15.42,34,"walking, for pleasure",12
Female,4,100.3,15.42,34,"jogging, general",24
Female,4,100.3,15.42,34,"running, 4 mph (15 min/mile)",18
Female,4,100.3,15.42,34,"swimming, general",45
Female,4,100.3,15.42,34,"rope skipping, general",39
Female,4,100.3,15.42,34,"badminton, general",18
Female,4,100.3,15.42,34,cricket,15
Female,4,100.3,15.42,34,tennis,24
Female,5,107.9,17.92,39.5,"bicycling, general",30
Female,5,107.9,17.92,39.5,"walking, for pleasure",15
Female,5,107.9,17.92,39.5,"jogging, general",30
Female,5,107.9,17.92,39.5,"running, 4 mph (15 min/mile)",24
Female,5,107.9,17.92,39.5,"swimming, general",57
Female,5,107.9,17.92,39.5,"rope skipping, general",51
Female,5,107.9,17.92,39.5,"badminton, general",24
Female,5,107.9,17.92,39.5,cricket,21
Female,5,107.9,17.92,39.5,tennis,30
Female,6,115.5,19.96,44,"bicycling, general",42
Female,6,115.5,19.96,44,"walking, for pleasure",18
Female,6,115.5,19.96,44,"jogging, general",36
Female,6,115.5,19.96,44,"running, 4 mph (15 min/mile)",30
Female,6,115.5,19.96,44,"swimming, general",69
Female,6,115.5,19.96,44,"rope skipping, general",63
Female,6,115.5,19.96,44,"badminton, general",27
Female,6,115.5,19.96,44,cricket,24
Female,6,115.5,19.96,44,tennis,39
Female,7,121.1,22.45,49.5,"bicycling, general",54
Female,7,121.1,22.45,49.5,"walking, for pleasure",21
Female,7,121.1,22.45,49.5,"jogging, general",45
Female,7,121.1,22.45,49.5,"running, 4 mph (15 min/mile)",39
Female,7,121.1,22.45,49.5,"swimming, general",87
Female,7,121.1,22.45,49.5,"rope skipping, general",78
Female,7,121.1,22.45,49.5,"badminton, general",33
Female,7,121.1,22.45,49.5,cricket,30
Female,7,121.1,22.45,49.5,tennis,45
Female,8,128.2,25.85,57,"bicycling, general",69
Female,8,128.2,25.85,57,"walking, for pleasure",27
Female,8,128.2,25.85,57,"jogging, general",57
Female,8,128.2,25.85,57,"running, 4 mph (15 min/mile)",48
Female,8,128.2,25.85,57,"swimming, general",111
Female,8,128.2,25.85,57,"rope skipping, general",99
Female,8,128.2,25.85,57,"badminton, general",45
Female,8,128.2,25.85,57,cricket,39
Female,8,128.2,25.85,57,tennis,57
Female,9,133.3,28.12,62,"bicycling, general",69
Female,9,133.3,28.12,62,"walking, for pleasure",33
Female,9,133.3,28.12,62,"jogging, general",66
Female,9,133.3,28.12,62,"running, 4 mph (15 min/mile)",57
Female,9,133.3,28.12,62,"swimming, general",129
Female,9,133.3,28.12,62,"rope skipping, general",114
Female,9,133.3,28.12,62,"badminton, general",51
Female,9,133.3,28.12,62,cricket,45
Female,9,133.3,28.12,62,tennis,69
Female,10,138.4,31.98,70.5,"bicycling, general",87
Female,10,138.4,31.98,70.5,"walking, for pleasure",39
Female,10,138.4,31.98,70.5,"jogging, general",81
Female,10,138.4,31.98,70.5,"running, 4 mph (15 min/mile)",69
Female,10,138.4,31.98,70.5,"swimming, general",159
Female,10,138.4,31.98,70.5,"rope skipping, general",144
Female,10,138.4,31.98,70.5,"badminton, general",63
Female,10,138.4,31.98,70.5,cricket,54
Female,10,138.4,31.98,70.5,tennis,84
Female,11,144,36.97,81.5,"bicycling, general",111
Female,11,144,36.97,81.5,"walking, for pleasure",51
Female,11,144,36.97,81.5,"jogging, general",102
Female,11,144,36.97,81.5,"running, 4 mph (15 min/mile)",90
Female,11,144,36.97,81.5,"swimming, general",204
Female,11,144,36.97,81.5,"rope skipping, general",183
Female,11,144,36.97,81.5,"badminton, general",81
Female,11,144,36.97,81.5,cricket,72
Female,11,144,36.97,81.5,tennis,108
Female,12,149.8,41.5,91.5,"bicycling, general",135
Female,12,149.8,41.5,91.5,"walking, for pleasure",63
Female,12,149.8,41.5,91.5,"jogging, general",126
Female,12,149.8,41.5,91.5,"running, 4 mph (15 min/mile)",108
Female,12,149.8,41.5,91.5,"swimming, general",246
Female,12,149.8,41.5,91.5,"rope skipping, general",219
Female,12,149.8,41.5,91.5,"badminton, general",99
Female,12,149.8,41.5,91.5,cricket,84
Female,12,149.8,41.5,91.5,tennis,132
Female,13,156.7,45.81,101,"bicycling, general",156
Female,13,156.7,45.81,101,"walking, for pleasure",75
Female,13,156.7,45.81,101,"jogging, general",147
Female,13,156.7,45.81,101,"running, 4 mph (15 min/mile)",126
Female,13,156.7,45.81,101,"swimming, general",288
Female,13,156.7,45.81,101,"rope skipping, general",258
Female,13,156.7,45.81,101,"badminton, general",114
Female,13,156.7,45.81,101,cricket,102
Female,13,156.7,45.81,101,tennis,153
Female,14,158.7,47.63,105,"bicycling, general",168
Female,14,158.7,47.63,105,"walking, for pleasure",78
Female,14,158.7,47.63,105,"jogging, general",159
Female,14,158.7,47.63,105,"running, 4 mph (15 min/mile)",135
Female,14,158.7,47.63,105,"swimming, general",309
Female,14,158.7,47.63,105,"rope skipping, general",276
Female,14,158.7,47.63,105,"badminton, general",123
