Age,Gender,Average Weight (Kg),Average Height (cm),Level of Activity,bmr,Meal Type,Menu No,Recommended Calorie ,Recommended Total Carbohydrate(g),Recommended Carbohydrate (g),Serving Size
2,1,12.02,85.5,1,483.575,1,1,664.915625,74.80300781,22.44090234,0.7
2,1,12.02,85.5,1,483.575,1,2,664.915625,74.80300781,22.44090234,0.7
2,1,12.02,85.5,1,483.575,1,3,664.915625,74.80300781,22.44090234,0.9
2,1,12.02,85.5,1,483.575,1,4,664.915625,74.80300781,22.44090234,0.6
2,1,12.02,85.5,1,483.575,1,5,664.915625,74.80300781,22.44090234,0.5
2,1,12.02,85.5,1,483.575,1,6,664.915625,74.80300781,22.44090234,0.9
2,1,12.02,85.5,1,483.575,1,7,664.915625,74.80300781,22.44090234,0.7
2,2,12.47,86.8,1,662.2,1,1,910.525,102.4340625,30.73021875,1
2,2,12.47,86.8,1,662.2,1,2,910.525,102.4340625,30.73021875,1
2,2,12.47,86.8,1,662.2,1,3,910.525,102.4340625,30.73021875,1.2
2,2,12.47,86.8,1,662.2,1,4,910.525,102.4340625,30.73021875,0.8
2,2,12.47,86.8,1,662.2,1,5,910.525,102.4340625,30.73021875,0.7
2,2,12.47,86.8,1,662.2,1,6,910.525,102.4340625,30.73021875,1.2
2,2,12.47,86.8,1,662.2,1,7,910.525,102.4340625,30.73021875,1
2,1,12.02,85.5,2,483.575,1,1,749.54125,84.32339063,25.29701719,0.8
2,1,12.02,85.5,2,483.575,1,2,749.54125,84.32339063,25.29701719,0.8
2,1,12.02,85.5,2,483.575,1,3,749.54125,84.32339063,25.29701719,1
2,1,12.02,85.5,2,483.575,1,4,749.54125,84.32339063,25.29701719,0.7
2,1,12.02,85.5,2,483.575,1,5,749.54125,84.32339063,25.29701719,0.6
2,1,12.02,85.5,2,483.575,1,6,749.54125,84.32339063,25.29701719,1
2,1,12.02,85.5,2,483.575,1,7,749.54125,84.32339063,25.29701719,0.8
2,2,12.47,86.8,2,662.2,1,1,1026.41,115.471125,34.6413375,1.2
2,2,12.47,86.8,2,662.2,1,2,1026.41,115.471125,34.6413375,1.1
2,2,12.47,86.8,2,662.2,1,3,1026.41,115.471125,34.6413375,1.3
2,2,12.47,86.8,2,662.2,1,4,1026.41,115.471125,34.6413375,0.9
2,2,12.47,86.8,2,662.2,1,5,1026.41,115.471125,34.6413375,0.8
2,2,12.47,86.8,2,662.2,1,6,1026.41,115.471125,34.6413375,1.4
2,2,12.47,86.8,2,662.2,1,7,1026.41,115.471125,34.6413375,1.2
2,1,12.02,85.5,3 ,483.575,1,1,834.166875,93.84377344,28.15313203,0.9
2,1,12.02,85.5,3 ,483.575,1,2,834.166875,93.84377344,28.15313203,0.9
2,1,12.02,85.5,3 ,483.575,1,3,834.166875,93.84377344,28.15313203,1.1
2,1,12.02,85.5,3 ,483.575,1,4,834.166875,93.84377344,28.15313203,0.7
2,1,12.02,85.5,3 ,483.575,1,5,834.166875,93.84377344,28.15313203,0.7
2,1,12.02,85.5,3 ,483.575,1,6,834.166875,93.84377344,28.15313203,1.1
2,1,12.02,85.5,3 ,483.575,1,7,834.166875,93.84377344,28.15313203,0.9
2,2,12.47,86.8,3 ,662.2,1,1,1142.295,128.5081875,38.55245625,1.3
2,2,12.47,86.8,3 ,662.2,1,2,1142.295,128.5081875,38.55245625,1.2
2,2,12.47,86.8,3 ,662.2,1,3,1142.295,128.5081875,38.55245625,1.5
2,2,12.47,86.8,3 ,662.2,1,4,1142.295,128.5081875,38.55245625,1
2,2,12.47,86.8,3 ,662.2,1,5,1142.295,128.5081875,38.55245625,0.9
2,2,12.47,86.8,3 ,662.2,1,6,1142.295,128.5081875,38.55245625,1.5
2,2,12.47,86.8,3 ,662.2,1,7,1142.295,128.5081875,38.55245625,1.3
3,1,14.29,94,1,554.4,1,1,762.3,85.75875,25.727625,0.9
3,1,14.29,94,1,554.4,1,2,762.3,85.75875,25.727625,0.8
3,1,14.29,94,1,554.4,1,3,762.3,85.75875,25.727625,1
3,1,14.29,94,1,554.4,1,4,762.3,85.75875,25.727625,0.7
3,1,14.29,94,1,554.4,1,5,762.3,85.75875,25.727625,0.6
3,1,14.29,94,1,554.4,1,6,762.3,85.75875,25.727625,1
3,1,14.29,94,1,554.4,1,7,762.3,85.75875,25.727625,0.9
3,2,14.06,95.2,1,725.6,1,1,997.7,112.24125,33.672375,1.1
3,2,14.06,95.2,1,725.6,1,2,997.7,112.24125,33.672375,1.1
3,2,14.06,95.2,1,725.6,1,3,997.7,112.24125,33.672375,1.3
3,2,14.06,95.2,1,725.6,1,4,997.7,112.24125,33.672375,0.9
3,2,14.06,95.2,1,725.6,1,5,997.7,112.24125,33.672375,0.8
3,2,14.06,95.2,1,725.6,1,6,997.7,112.24125,33.672375,1.3
3,2,14.06,95.2,1,725.6,1,7,997.7,112.24125,33.672375,1.1
3,1,14.29,94,2,554.4,1,1,859.32,96.6735,29.00205,1
3,1,14.29,94,2,554.4,1,2,859.32,96.6735,29.00205,0.9
3,1,14.29,94,2,554.4,1,3,859.32,96.6735,29.00205,1.1
3,1,14.29,94,2,554.4,1,4,859.32,96.6735,29.00205,0.8
3,1,14.29,94,2,554.4,1,5,859.32,96.6735,29.00205,0.7
3,1,14.29,94,2,554.4,1,6,859.32,96.6735,29.00205,1.2
3,1,14.29,94,2,554.4,1,7,859.32,96.6735,29.00205,1
3,2,14.06,95.2,2,725.6,1,1,1124.68,126.5265,37.95795,1.3
3,2,14.06,95.2,2,725.6,1,2,1124.68,126.5265,37.95795,1.2
3,2,14.06,95.2,2,725.6,1,3,1124.68,126.5265,37.95795,1.5
3,2,14.06,95.2,2,725.6,1,4,1124.68,126.5265,37.95795,1
3,2,14.06,95.2,2,725.6,1,5,1124.68,126.5265,37.95795,0.9
3,2,14.06,95.2,2,725.6,1,6,1124.68,126.5265,37.95795,1.5
3,2,14.06,95.2,2,725.6,1,7,1124.68,126.5265,37.95795,1.3
3,1,14.29,94,3 ,554.4,1,1,956.34,107.58825,32.276475,1.1
3,1,14.29,94,3 ,554.4,1,2,956.34,107.58825,32.276475,1
3,1,14.29,94,3 ,554.4,1,3,956.34,107.58825,32.276475,1.2
3,1,14.29,94,3 ,554.4,1,4,956.34,107.58825,32.276475,0.8
3,1,14.29,94,3 ,554.4,1,5,956.34,107.58825,32.276475,0.8
3,1,14.29,94,3 ,554.4,1,6,956.34,107.58825,32.276475,1.3
3,1,14.29,94,3 ,554.4,1,7,956.34,107.58825,32.276475,1.1
3,2,14.06,95.2,3 ,725.6,1,1,1251.66,140.81175,42.243525,1.4
3,2,14.06,95.2,3 ,725.6,1,2,1251.66,140.81175,42.243525,1.3
3,2,14.06,95.2,3 ,725.6,1,3,1251.66,140.81175,42.243525,1.6
3,2,14.06,95.2,3 ,725.6,1,4,1251.66,140.81175,42.243525,1.1
3,2,14.06,95.2,3 ,725.6,1,5,1251.66,140.81175,42.243525,1
3,2,14.06,95.2,3 ,725.6,1,6,1251.66,140.81175,42.243525,1.7
3,2,14.06,95.2,3 ,725.6,1,7,1251.66,140.81175,42.243525,1.4
4,1,15.42,100.3,1,600.075,1,1,825.103125,92.82410156,26.91898945,0.9
4,1,15.42,100.3,1,600.075,1,2,825.103125,92.82410156,26.91898945,0.8
4,1,15.42,100.3,1,600.075,1,3,825.103125,92.82410156,26.91898945,1
4,1,15.42,100.3,1,600.075,1,4,825.103125,92.82410156,26.91898945,0.7
4,1,15.42,100.3,1,600.075,1,5,825.103125,92.82410156,26.91898945,0.7
4,1,15.42,100.3,1,600.075,1,6,825.103125,92.82410156,26.91898945,1.1
4,1,15.42,100.3,1,600.075,1,7,825.103125,92.82410156,26.91898945,0.9
4,2,16.33,102.3,1,787.675,1,1,1083.053125,121.8434766,35.3346082,1.2
4,2,16.33,102.3,1,787.675,1,2,1083.053125,121.8434766,35.3346082,1.1
4,2,16.33,102.3,1,787.675,1,3,1083.053125,121.8434766,35.3346082,1.4
4,2,16.33,102.3,1,787.675,1,4,1083.053125,121.8434766,35.3346082,0.9
4,2,16.33,102.3,1,787.675,1,5,1083.053125,121.8434766,35.3346082,0.9
4,2,16.33,102.3,1,787.675,1,6,1083.053125,121.8434766,35.3346082,1.4
4,2,16.33,102.3,1,787.675,1,7,1083.053125,121.8434766,35.3346082,1.2
4,1,15.42,100.3,2,600.075,1,1,930.11625,104.6380781,30.34504266,1
4,1,15.42,100.3,2,600.075,1,2,930.11625,104.6380781,30.34504266,0.9
4,1,15.42,100.3,2,600.075,1,3,930.11625,104.6380781,30.34504266,1.2
4,1,15.42,100.3,2,600.075,1,4,930.11625,104.6380781,30.34504266,0.8
4,1,15.42,100.3,2,600.075,1,5,930.11625,104.6380781,30.34504266,0.7
4,1,15.42,100.3,2,600.075,1,6,930.11625,104.6380781,30.34504266,1.2
